"Time (s)","Acceleration (m/s²)"
5.912775125E0,-7.585490540E-2
5.952865125E0,2.671358943E-2
5.992954125E0,-6.057890832E-2
6.033043125E0,7.738409847E-2
6.073132125E0,1.851832201E-1
6.113222125E0,7.292998195E-2
6.153311125E0,-2.299841478E-2
6.193400125E0,-1.593572380E-1
6.233489125E0,-2.782599297E-1
6.273579125E0,-3.312548532E-1
6.313668125E0,-9.711742803E-2
6.353757125E0,1.954050301E-1
6.393846125E0,1.606116119E-1
6.433936125E0,-2.826690227E-2
6.474025125E0,-1.206701589E-1
6.514114125E0,6.710206211E-2
6.554202583E0,3.687531933E-2
6.594292583E0,1.122147927E-1
6.634381583E0,2.542689501E-1
6.674470583E0,1.561314753E-1
6.714559583E0,1.116800648E-1
6.754649583E0,2.015326197E-1
6.794738583E0,1.794166960E-1
6.834827583E0,1.015005009E-1
6.874916583E0,-8.055855185E-3
6.915006583E0,-7.535423756E-2
6.955095583E0,-1.162546340E-1
6.995184583E0,-5.533176318E-2
7.035273583E0,-5.002366081E-2
7.075363583E0,-3.489559829E-2
7.115452583E0,-2.338740081E-2
7.155541583E0,-3.281282008E-2
7.195630583E0,-9.608437121E-3
7.235720583E0,-1.071136817E-2
7.275809583E0,-7.259859100E-2
7.315898583E0,7.078054547E-3
7.355987583E0,1.454538748E-2
7.396077583E0,-6.559874296E-2
7.436166583E0,-3.615538090E-2
7.476255583E0,-3.405023709E-2
7.516344583E0,1.470004633E-2
7.556435208E0,1.073556103E-1
7.596524208E0,4.890757352E-2
7.636613208E0,-7.646959394E-2
7.676702208E0,-1.127675007E-1
7.716792208E0,1.492096876E-1
7.756881208E0,4.567688455E-1
7.796970208E0,6.419706304E-1
7.837059208E0,5.544066757E-2
7.877149208E0,6.016068622E-2
7.917238208E0,3.314707616E-1
7.957327208E0,4.777871007E-1
7.997416208E0,2.308334559E-2
8.037506208E0,6.089918956E-2
8.077595208E0,2.809810777E-1
8.117684208E0,-1.297377285E-1
8.157773208E0,-2.408738561E-1
8.197863208E0,-1.019871354E-2
8.237952208E0,1.962435208E-1
8.278041208E0,1.785192946E-1
8.318130208E0,2.190922469E-1
8.358220208E0,4.805009396E-1
8.398309208E0,5.291817874E-1
8.438398208E0,4.201876411E-1
8.478487208E0,3.066316433E-1
8.518577208E0,1.990504767E-1
8.558666750E0,2.010148488E-1
8.598755750E0,-2.728457004E-3
8.638844750E0,-2.935141459E-1
8.678934750E0,-3.948700744E-1
8.719023750E0,5.379146039E-3
8.759112750E0,-3.024460602E-1
8.799201750E0,-2.596499965E-1
8.839291750E0,-6.425185145E-1
8.879380750E0,-1.323622513E-1
8.919469750E0,4.473472269E-1
8.959558750E0,-5.030412251E-1
8.999648750E0,-1.261145014E0
9.039737750E0,-6.002099624E-1
9.079826750E0,-4.976022913E-1
9.119915750E0,-1.109466193E0
9.160005750E0,-9.877669242E-1
9.200094750E0,-1.041584259E0
9.240183750E0,-1.273958602E0
9.280272750E0,-1.291723320E0
9.320362750E0,-9.407118948E-1
9.360451750E0,-1.490738275E0
9.400540750E0,-8.837335557E-1
9.440629750E0,-2.619497064E-1
9.480719750E0,-5.632163832E-1
9.520808750E0,-5.922331908E-1
9.560896625E0,-5.138724612E-1
9.600985625E0,-5.446532276E-1
9.641075625E0,-6.221921311E-1
9.681164625E0,-8.807617083E-1
9.721253625E0,-3.079228547E-1
9.761342625E0,-8.074738768E-1
9.801432625E0,-7.544473784E-1
9.841521625E0,-8.337739219E-1
9.881610625E0,-1.633858818E0
9.921699625E0,-6.669012576E-2
9.961789625E0,-3.371751590E-1
1.000187863E1,-9.513282457E-1
1.004196763E1,-5.644467835E-1
1.008205662E1,-1.009860044E0
1.012214663E1,-6.946249536E-1
1.016223563E1,-3.923059241E-1
1.020232462E1,-5.196669057E-1
1.024241363E1,-1.056628852E0
1.028250363E1,-7.796490240E-1
1.032259263E1,-1.175543823E0
1.036268163E1,-9.638781247E-1
1.040277063E1,-5.713130227E-1
1.044286063E1,-6.844415890E-1
1.048294963E1,-9.390012918E-1
1.052303863E1,-9.182688193E-1
1.056312796E1,-7.584204152E-1
1.060321796E1,-4.761801396E-1
1.064330696E1,-3.984599724E-1
1.068339596E1,-4.291813897E-1
1.072348496E1,-1.070850304E-1
1.076357496E1,6.699023411E-2
1.080366396E1,-1.132991588E-1
1.084375296E1,4.358909234E-2
1.088384196E1,3.704504938E-1
1.092393096E1,1.894060792E-1
1.096402096E1,9.112023130E-2
1.100410996E1,2.867474556E-3
1.104419896E1,-9.756649420E-2
1.108428796E1,-6.852264315E-2
1.112437796E1,-6.106525049E-2
1.116446696E1,3.727073729E-2
1.120455596E1,8.520562649E-2
1.124464496E1,-6.963960752E-2
1.128473496E1,8.601268843E-2
1.132482396E1,7.358209267E-2
1.136491296E1,-1.022040671E-1
1.140500196E1,-5.761846304E-2
1.144509196E1,8.833242506E-3
1.148518096E1,-9.938073903E-3
1.152526996E1,8.773454726E-3
1.156535875E1,-1.473667914E-1
1.160544875E1,-6.010455295E-2
1.164553775E1,-5.134235412E-2
1.168562675E1,-9.771720618E-2
1.172571575E1,-2.340771988E-2
1.176580475E1,1.114040762E-3
1.180589475E1,7.143397182E-3
1.184598375E1,-3.747041970E-2
1.188607275E1,-1.732032984E-2
1.192616175E1,4.902247131E-2
1.196625175E1,6.567139462E-2
1.200634075E1,-7.354627848E-3
1.204642975E1,-5.322822735E-2
1.208651875E1,-6.709679961E-4
1.212660875E1,-3.958842739E-2
1.216669775E1,4.279314011E-2
1.220678675E1,8.269907132E-2
1.224687575E1,8.522316813E-4
1.228696475E1,-5.766070917E-2
1.232705475E1,-5.291057736E-2
1.236714375E1,-3.279674023E-2
1.240723275E1,8.345584720E-3
1.244732175E1,-1.647262976E-2
1.248741175E1,4.699144095E-2
1.252750075E1,-1.003414366E-1
1.256758958E1,-1.392697133E-1
1.260767858E1,1.209262669E-2
1.264776758E1,-2.692584336E-2
1.268785758E1,-1.710398287E-2
1.272794658E1,-3.049717650E-2
1.276803558E1,1.005618766E-2
1.280812458E1,3.130350754E-2
1.284821458E1,4.381026328E-4
1.288830358E1,1.560504913E-2
1.292839258E1,5.809311077E-2
1.296848158E1,-6.547799796E-2
1.300857058E1,-5.069974512E-2
1.304866058E1,-1.487707078E-2
1.308874958E1,-1.437173979E-1
1.312883858E1,-4.286374524E-2
1.316892758E1,8.836692363E-2
1.320901758E1,1.149751170E-1
1.324910658E1,5.635239467E-2
1.328919558E1,-1.254702844E-1
1.332928458E1,-1.445532574E-1
1.336937358E1,-1.161167859E-1
1.340946358E1,-3.938085124E-2
1.344955258E1,7.596117854E-2
1.348964158E1,1.706781784E-1
1.352973058E1,-9.679568499E-2
1.356981933E1,-2.662931643E-1
1.360990933E1,-4.438767582E-2
1.364999833E1,7.657338202E-2
1.369008733E1,-2.834057719E-2
1.373017633E1,-6.467020512E-3
1.377026633E1,2.987634838E-3
1.381035533E1,-9.753068000E-2
1.385044433E1,-1.248731375E-1
1.389053333E1,-2.751129583E-2
1.393062233E1,5.595098332E-2
1.397071233E1,-1.143890798E-2
1.401080133E1,-7.114965096E-2
1.405089033E1,-7.127902061E-2
1.409097933E1,-2.217414741E-1
1.413106833E1,-1.122680023E-2
1.417115833E1,1.206602186E-2
1.421124733E1,-8.211098760E-2
1.425133633E1,-2.287927777E-2
1.429142533E1,2.587319836E-2
1.433151533E1,-9.009419113E-2
1.437160433E1,-6.122824162E-2
1.441169333E1,4.812974766E-2
1.445178233E1,-1.489271209E-2
1.449187133E1,5.980736822E-2
1.453196133E1,-3.696843624E-2
1.457205200E1,-6.552989200E-2
1.461214100E1,3.180008233E-3
1.465223000E1,6.810719848E-2
1.469231900E1,-6.125835478E-3
1.473240900E1,-9.273742497E-2
1.477249800E1,-1.738318741E-2
1.481258700E1,-5.313364863E-2
1.485267600E1,-1.353036931E-1
1.489276500E1,-8.971967697E-2
1.493285500E1,8.352382109E-2
1.497294400E1,5.595887706E-2
1.501303300E1,-1.304088427E-1
1.505312200E1,-7.036495462E-2
1.509321100E1,-8.539566100E-3
1.513330100E1,-2.270970851E-2
1.517339000E1,3.014327377E-2
1.521347900E1,2.948122278E-2
1.525356800E1,-1.108075140E-1
1.529365800E1,-1.353361452E-1
1.533374700E1,-5.821867973E-2
1.537383600E1,5.164026976E-2
1.541392500E1,4.014420524E-2
1.545401400E1,-1.359916180E-1
1.549410400E1,-2.727325568E-1
1.553419300E1,-1.293140978E-1
1.557428133E1,6.605774939E-2
1.561437033E1,2.795159116E-2
1.565445933E1,-6.120017499E-2
1.569454933E1,-5.811723053E-2
1.573463833E1,-7.927026406E-2
1.577472733E1,7.367930263E-3
1.581481633E1,-8.758222729E-2
1.585490633E1,-6.302684516E-2
1.589499533E1,3.002793744E-2
1.593508433E1,-2.790890649E-2
1.597517333E1,-6.142017648E-2
1.601526233E1,-6.229565084E-2
1.605535233E1,8.630548775E-2
1.609544133E1,7.757296354E-2
1.613553033E1,-2.219006646E-1
1.617561933E1,-1.629661395E-1
1.621570833E1,1.471599461E-1
1.625579733E1,1.665257782E-2
1.629588733E1,-1.944415551E-1
1.633597633E1,-1.269608858E-1
1.637606533E1,1.036885290E-1
1.641615433E1,7.731203154E-2
1.645624333E1,6.812181652E-2
1.649633333E1,1.795529361E-1
1.653642233E1,3.559830205E-1
1.657651175E1,5.814303137E-1
1.661660075E1,4.707626943E-1
1.665668975E1,5.508270103E-1
1.669677975E1,7.784249094E-1
1.673686875E1,7.673858048E-1
1.677695775E1,8.567537718E-1
1.681704675E1,8.374934819E-1
1.685713575E1,6.277167267E-1
1.689722575E1,6.572397570E-1
1.693731475E1,7.172804292E-1
1.697740375E1,6.658281474E-1
1.701749275E1,6.287158696E-1
1.705758175E1,6.321249425E-1
1.709767175E1,5.898352477E-1
1.713776075E1,5.392682344E-1
1.717784975E1,7.452355286E-1
1.721793875E1,8.261759037E-1
1.725802775E1,1.020992558E-1
1.729811675E1,5.621059969E-1
1.733820675E1,3.447195290E-1
1.737829575E1,-7.701089993E-1
1.741838475E1,4.486077404E-1
1.745847375E1,2.754263982E0
1.749856275E1,1.939488980E0
1.753865275E1,1.282167216E0
1.757874071E1,5.396920113E-1
1.761882971E1,2.975289904E-1
1.765891871E1,9.260647658E-1
1.769900771E1,9.033110569E-1
1.773909771E1,6.251787427E-1
1.777918671E1,8.514896697E-1
1.781927571E1,5.548946258E-1
1.785936471E1,8.259208189E-1
1.789945371E1,7.900370412E-1
1.793954271E1,7.118920738E-1
1.797963271E1,5.370480466E-1
1.801972171E1,6.100245139E-1
1.805981071E1,6.667597550E-1
1.809989971E1,5.720078181E-1
1.813998871E1,5.273141867E-1
1.818007871E1,2.806296600E-1
1.822016771E1,2.673354305E-1
1.826025671E1,2.852341962E-1
1.830034571E1,1.192970864E-1
1.834043471E1,1.542726454E-1
1.838052471E1,-1.003167321E-1
1.842061371E1,-8.642798692E-2
1.846070271E1,-1.456066333E-1
1.850079171E1,-6.960510895E-2
1.854088071E1,6.229550466E-2
1.858097333E1,4.227463827E-2
1.862106333E1,-1.196958666E-1
1.866115233E1,-4.156580955E-2
1.870124133E1,-1.098598266E-1
1.874133033E1,5.374439031E-2
1.878141933E1,1.216757338E-1
1.882150933E1,-4.027489051E-2
1.886159833E1,-2.141957885E-1
1.890168733E1,-4.918093085E-2
1.894177633E1,7.615325958E-2
1.898186533E1,6.322097272E-2
1.902195533E1,-9.086660832E-2
1.906204433E1,-1.169440207E-1
1.910213333E1,-1.501200990E-1
1.914222233E1,-4.712285712E-2
1.918231133E1,2.499582365E-1
