"Time (ms)";"Recording (a.u.)"
5.396037729E0;-3.981283866E-3
5.416871851E0;-3.796403995E-3
5.437705974E0;-3.488798626E-3
5.458540096E0;-3.158314619E-3
5.479374219E0;-2.810268197E-3
5.500208341E0;-2.478053793E-3
5.521042464E0;-2.134116832E-3
5.541876586E0;-1.793012489E-3
5.562710709E0;-1.671605394E-3
5.583544831E0;-1.635809196E-3
5.604378954E0;-1.591454027E-3
5.625213076E0;-1.564381993E-3
5.646047199E0;-1.386419404E-3
5.666881321E0;-1.261134748E-3
5.687715444E0;-1.192629337E-3
5.708549566E0;-9.855651297E-4
5.729383689E0;-8.403864340E-4
5.750217811E0;-7.538187201E-4
5.771051934E0;-6.819174159E-4
5.791886056E0;-6.021701847E-4
5.812720179E0;-4.258745466E-4
5.833554301E0;-2.535569656E-4
5.854388424E0;-1.821113983E-5
5.875222546E0;1.767075155E-4
5.896056669E0;2.275562874E-4
5.916890791E0;3.669779981E-4
5.937724914E0;5.692708655E-4
5.958559036E0;8.496174705E-4
5.979393159E0;1.108880620E-3
6.000227281E0;1.229981543E-3
6.021061404E0;1.445373637E-3
6.041895526E0;1.683735987E-3
6.062729649E0;1.904051052E-3
6.083563771E0;2.088440815E-3
6.104397894E0;2.062009647E-3
6.125232016E0;1.906209160E-3
6.146066139E0;1.763620414E-3
6.166900261E0;1.787799178E-3
6.187734384E0;1.919222646E-3
6.208568506E0;2.022732515E-3
6.229402629E0;2.206013305E-3
6.250236751E0;2.456018934E-3
6.271070874E0;2.635688987E-3
6.291904996E0;2.729534172E-3
6.312739119E0;2.786882920E-3
6.333573241E0;2.782856347E-3
6.354407364E0;2.754427493E-3
6.375241486E0;2.859651810E-3
6.396075609E0;3.124918323E-3
6.416909731E0;3.486971371E-3
6.437743854E0;3.887394443E-3
6.458577976E0;4.018977750E-3
6.479412099E0;3.831444541E-3
6.500246221E0;3.745941911E-3
6.521080344E0;3.768243361E-3
6.541914466E0;3.765059402E-3
6.562748589E0;3.776962403E-3
6.583582711E0;3.811425064E-3
6.604416834E0;3.971627448E-3
6.625250956E0;4.166050814E-3
6.646085079E0;4.277446773E-3
6.666919201E0;4.317243584E-3
6.687753324E0;4.390363116E-3
6.708587446E0;4.590664059E-3
6.729421569E0;4.693326075E-3
6.750255692E0;4.692520481E-3
6.771089814E0;4.676394165E-3
6.791923937E0;4.536174238E-3
6.812758059E0;4.383023828E-3
6.833592182E0;4.251999781E-3
6.854426304E0;4.189208150E-3
6.875260427E0;4.304665141E-3
6.896094549E0;4.455310293E-3
6.916928672E0;4.580019508E-3
6.937762794E0;4.618966021E-3
6.958596917E0;4.499009345E-3
6.979431039E0;4.391168244E-3
7.000265162E0;4.318255000E-3
7.021099284E0;4.268352408E-3
7.041933407E0;4.283784889E-3
7.062767529E0;4.268218763E-3
7.083601652E0;4.382183775E-3
7.104435774E0;4.595472477E-3
7.125269897E0;4.599680658E-3
7.146104019E0;4.392149858E-3
7.166938142E0;4.076133482E-3
7.187772264E0;3.915577196E-3
7.208606387E0;3.971649334E-3
7.229440509E0;4.069835879E-3
7.250274632E0;4.197586328E-3
7.271108754E0;4.369105212E-3
7.291942877E0;4.631972872E-3
7.312776999E0;4.747660831E-3
7.333611122E0;4.714919254E-3
7.354445244E0;4.790629726E-3
7.375279367E0;4.864413291E-3
7.396113489E0;4.895766266E-3
7.416947612E0;4.768323619E-3
7.437781734E0;4.622689448E-3
7.458615857E0;4.634317942E-3
7.479449979E0;4.596467130E-3
7.500284102E0;4.640318919E-3
7.521118224E0;4.764636979E-3
7.541952347E0;4.927523434E-3
7.562786469E0;5.125652067E-3
7.583620592E0;5.208611488E-3
7.604454714E0;5.337769166E-3
7.625288837E0;5.561649799E-3
7.646122959E0;5.779503845E-3
7.666957082E0;5.898748524E-3
7.687791204E0;6.015653722E-3
7.708625327E0;6.166002713E-3
7.729459449E0;6.211983506E-3
7.750293572E0;6.341888569E-3
7.771127694E0;6.416688673E-3
7.791961817E0;6.325791590E-3
7.812795939E0;6.198025309E-3
7.833630062E0;5.970200524E-3
7.854464184E0;5.850907415E-3
7.875298307E0;5.778256804E-3
7.896132429E0;5.793762393E-3
7.916966552E0;6.001875736E-3
7.937800674E0;6.038121879E-3
7.958634797E0;5.991474725E-3
7.979468919E0;5.828239955E-3
8.000303042E0;5.575457588E-3
8.021137164E0;5.419579800E-3
8.041971287E0;5.185153335E-3
8.062805409E0;5.179312080E-3
8.083639532E0;5.444820505E-3
8.104473654E0;5.727943033E-3
8.125307777E0;5.796569400E-3
8.146141899E0;5.559139885E-3
8.166976022E0;5.484812427E-3
8.187810144E0;5.461294204E-3
8.208644267E0;5.472297780E-3
8.229478389E0;5.513728596E-3
8.250312512E0;5.451314151E-3
8.271146634E0;5.708573386E-3
8.291980757E0;5.903705023E-3
8.312814879E0;5.829505157E-3
8.333649002E0;5.657751579E-3
8.354483124E0;5.447731353E-3
8.375317247E0;5.434588064E-3
8.396151369E0;5.358726718E-3
8.416985492E0;5.491886288E-3
8.437819614E0;5.831159186E-3
8.458653737E0;5.956983194E-3
8.479487859E0;6.009285804E-3
8.500321982E0;5.929033272E-3
8.521156104E0;5.959564820E-3
8.541990227E0;5.946966819E-3
8.562824349E0;5.737918429E-3
8.583658472E0;5.652591586E-3
8.604492594E0;5.588623695E-3
8.625326717E0;5.849109497E-3
8.646160839E0;6.086320616E-3
8.666994962E0;5.948426668E-3
8.687829084E0;5.972102284E-3
8.708663207E0;5.915979389E-3
8.729497329E0;5.901495926E-3
8.750331452E0;6.026970223E-3
8.771165574E0;5.946099292E-3
8.791999697E0;6.083206274E-3
8.812833819E0;6.260486320E-3
8.833667942E0;6.139485165E-3
8.854502064E0;5.966644734E-3
8.875336187E0;5.762550049E-3
8.896170309E0;5.656559952E-3
8.917004432E0;5.666801706E-3
8.937838554E0;5.633541383E-3
8.958672677E0;5.582683254E-3
8.979506799E0;5.472327583E-3
9.000340922E0;5.191612057E-3
9.021175045E0;4.863985814E-3
9.042009167E0;4.548470490E-3
9.062843290E0;4.251636099E-3
9.083677412E0;4.202914890E-3
9.104511535E0;4.143197089E-3
9.125345657E0;3.993439022E-3
9.146179780E0;4.169697873E-3
9.167013902E0;4.326001741E-3
9.187848025E0;4.213771317E-3
9.208682147E0;4.009549506E-3
9.229516270E0;3.668381833E-3
9.250350392E0;3.530929331E-3
9.271184515E0;3.658853006E-3
9.292018637E0;3.562052269E-3
9.312852760E0;3.355293535E-3
9.333686882E0;3.247138346E-3
9.354521005E0;3.079909598E-3
9.375355127E0;2.862603171E-3
9.396189250E0;2.454536734E-3
9.417023372E0;1.896530390E-3
9.437857495E0;1.535388757E-3
9.458691617E0;1.254164614E-3
9.479525740E0;9.286769200E-4
9.500359862E0;5.761943758E-4
9.521193985E0;1.447554387E-4
9.542028107E0;-2.412215108E-4
9.562862230E0;-5.935853114E-4
9.583696352E0;-9.586359374E-4
9.604530475E0;-1.180002000E-3
9.625364597E0;-1.187879709E-3
9.646198720E0;-1.084899064E-3
9.667032842E0;-1.018236158E-3
9.687866965E0;-1.018442214E-3
9.708701087E0;-1.052508713E-3
9.729535210E0;-1.039827941E-3
9.750369332E0;-9.687203565E-4
9.771203455E0;-9.569438407E-4
9.792037577E0;-8.371830918E-4
9.812871700E0;-5.943835131E-4
9.833705822E0;-5.010843161E-4
9.854539945E0;-4.481686046E-4
9.875374067E0;-4.257202672E-4
9.896208190E0;-4.073465825E-4
9.917042312E0;-2.163258614E-4
9.937876435E0;-7.057951007E-5
9.958710557E0;7.737314445E-5
9.979544680E0;3.079558664E-4
